Material_ID,Material_Name,Material_Archetype,Category,UOM,Current_Unit_Cost_$,Criticality
MAT-01305,Pad-Mount Transformer 500 kVA — Type 26,Pad-Mount Transformer 500 kVA,Transformers,Each,29830,Critical
MAT-01306,Pole-Mount Transformer 50 kVA — Type 26,Pole-Mount Transformer 50 kVA,Transformers,Each,5478,Low
MAT-01307,Recloser Control Package — Type 26,Recloser Control Package,Protection,Each,11952,Critical
MAT-01308,Switchgear Cabinet — Type 26,Switchgear Cabinet,Protection,Each,16547,Medium
MAT-01309,Smart Meter — Type 26,Smart Meter,Metering,Each,135,Medium
MAT-01310,Communication Gateway — Type 26,Communication Gateway,Communications,Each,1187,Low
MAT-01311,Grounding Kit — Type 26,Grounding Kit,Accessories,Kit,158,Critical
MAT-01312,Connector Set — Type 26,Connector Set,Accessories,Kit,80,Medium
MAT-01313,Composite Utility Pole — Type 27,Composite Utility Pole,Structures,Each,1968,High
MAT-01314,Crossarm Assembly — Type 27,Crossarm Assembly,Structures,Each,461,Low
MAT-01315,15 kV Cable — Type 27,15 kV Cable,Conductor,Foot,12,Low
MAT-01316,35 kV Cable — Type 27,35 kV Cable,Conductor,Foot,32,Low
MAT-01317,Pad-Mount Transformer 500 kVA — Type 27,Pad-Mount Transformer 500 kVA,Transformers,Each,23908,Critical
MAT-01318,Pole-Mount Transformer 50 kVA — Type 27,Pole-Mount Transformer 50 kVA,Transformers,Each,5307,Low
MAT-01319,Recloser Control Package — Type 27,Recloser Control Package,Protection,Each,14201,Critical
MAT-01320,Switchgear Cabinet — Type 27,Switchgear Cabinet,Protection,Each,21918,Medium
MAT-01321,Smart Meter — Type 27,Smart Meter,Metering,Each,168,Medium
MAT-01322,Communication Gateway — Type 27,Communication Gateway,Communications,Each,1071,Medium
MAT-01323,Grounding Kit — Type 27,Grounding Kit,Accessories,Kit,115,High
MAT-01324,Connector Set — Type 27,Connector Set,Accessories,Kit,72,Medium
MAT-01325,Composite Utility Pole — Type 28,Composite Utility Pole,Structures,Each,1726,High
MAT-01326,Crossarm Assembly — Type 28,Crossarm Assembly,Structures,Each,457,Medium
MAT-01327,15 kV Cable — Type 28,15 kV Cable,Conductor,Foot,15,Low
MAT-01328,35 kV Cable — Type 28,35 kV Cable,Conductor,Foot,30,Low
MAT-01329,Pad-Mount Transformer 500 kVA — Type 28,Pad-Mount Transformer 500 kVA,Transformers,Each,21924,High
MAT-01330,Pole-Mount Transformer 50 kVA — Type 28,Pole-Mount Transformer 50 kVA,Transformers,Each,6977,Low
MAT-01331,Recloser Control Package — Type 28,Recloser Control Package,Protection,Each,12011,Medium
MAT-01332,Switchgear Cabinet — Type 28,Switchgear Cabinet,Protection,Each,23218,Medium
MAT-01333,Smart Meter — Type 28,Smart Meter,Metering,Each,160,High
MAT-01334,Communication Gateway — Type 28,Communication Gateway,Communications,Each,1109,Low
MAT-01335,Grounding Kit — Type 28,Grounding Kit,Accessories,Kit,141,Critical
MAT-01336,Connector Set — Type 28,Connector Set,Accessories,Kit,69,Critical
MAT-01337,Composite Utility Pole — Type 29,Composite Utility Pole,Structures,Each,1734,High
MAT-01338,Crossarm Assembly — Type 29,Crossarm Assembly,Structures,Each,423,Low
MAT-01339,15 kV Cable — Type 29,15 kV Cable,Conductor,Foot,15,Low
MAT-01340,35 kV Cable — Type 29,35 kV Cable,Conductor,Foot,24,Medium
MAT-01341,Pad-Mount Transformer 500 kVA — Type 29,Pad-Mount Transformer 500 kVA,Transformers,Each,23454,Critical
MAT-01342,Pole-Mount Transformer 50 kVA — Type 29,Pole-Mount Transformer 50 kVA,Transformers,Each,7687,Medium
MAT-01343,Recloser Control Package — Type 29,Recloser Control Package,Protection,Each,15024,High
MAT-01344,Switchgear Cabinet — Type 29,Switchgear Cabinet,Protection,Each,18893,Critical
MAT-01345,Smart Meter — Type 29,Smart Meter,Metering,Each,168,High
MAT-01346,Communication Gateway — Type 29,Communication Gateway,Communications,Each,1061,Medium
MAT-01347,Grounding Kit — Type 29,Grounding Kit,Accessories,Kit,161,Critical
MAT-01348,Connector Set — Type 29,Connector Set,Accessories,Kit,59,Critical
MAT-01349,Composite Utility Pole — Type 30,Composite Utility Pole,Structures,Each,2440,Medium
MAT-01350,Crossarm Assembly — Type 30,Crossarm Assembly,Structures,Each,417,Medium
MAT-01351,15 kV Cable — Type 30,15 kV Cable,Conductor,Foot,15,Low
MAT-01352,35 kV Cable — Type 30,35 kV Cable,Conductor,Foot,30,Low
MAT-01353,Pad-Mount Transformer 500 kVA — Type 30,Pad-Mount Transformer 500 kVA,Transformers,Each,26213,Critical
MAT-01354,Pole-Mount Transformer 50 kVA — Type 30,Pole-Mount Transformer 50 kVA,Transformers,Each,6418,Medium
MAT-01355,Recloser Control Package — Type 30,Recloser Control Package,Protection,Each,14406,Critical
MAT-01356,Switchgear Cabinet — Type 30,Switchgear Cabinet,Protection,Each,17003,Medium
MAT-01357,Smart Meter — Type 30,Smart Meter,Metering,Each,142,Critical
MAT-01358,Communication Gateway — Type 30,Communication Gateway,Communications,Each,848,Low
MAT-01359,Grounding Kit — Type 30,Grounding Kit,Accessories,Kit,159,Critical
MAT-01360,Connector Set — Type 30,Connector Set,Accessories,Kit,62,Medium
MAT-01361,Composite Utility Pole — Type 31,Composite Utility Pole,Structures,Each,2174,Medium
MAT-01362,Crossarm Assembly — Type 31,Crossarm Assembly,Structures,Each,437,Low
MAT-01363,15 kV Cable — Type 31,15 kV Cable,Conductor,Foot,13,Medium
MAT-01364,35 kV Cable — Type 31,35 kV Cable,Conductor,Foot,25,Low
MAT-01365,Pad-Mount Transformer 500 kVA — Type 31,Pad-Mount Transformer 500 kVA,Transformers,Each,30467,Critical
MAT-01366,Pole-Mount Transformer 50 kVA — Type 31,Pole-Mount Transformer 50 kVA,Transformers,Each,7892,Medium
MAT-01367,Recloser Control Package — Type 31,Recloser Control Package,Protection,Each,18247,High
MAT-01368,Switchgear Cabinet — Type 31,Switchgear Cabinet,Protection,Each,18241,Medium
MAT-01369,Smart Meter — Type 31,Smart Meter,Metering,Each,125,Critical
MAT-01370,Communication Gateway — Type 31,Communication Gateway,Communications,Each,1048,Low
MAT-01371,Grounding Kit — Type 31,Grounding Kit,Accessories,Kit,122,High
MAT-01372,Connector Set — Type 31,Connector Set,Accessories,Kit,74,Critical
MAT-01373,Composite Utility Pole — Type 32,Composite Utility Pole,Structures,Each,2008,Critical
MAT-01374,Crossarm Assembly — Type 32,Crossarm Assembly,Structures,Each,491,Low
MAT-01375,15 kV Cable — Type 32,15 kV Cable,Conductor,Foot,11,Low
MAT-01376,35 kV Cable — Type 32,35 kV Cable,Conductor,Foot,33,Low
MAT-01377,Pad-Mount Transformer 500 kVA — Type 32,Pad-Mount Transformer 500 kVA,Transformers,Each,24484,Critical
MAT-01378,Pole-Mount Transformer 50 kVA — Type 32,Pole-Mount Transformer 50 kVA,Transformers,Each,6263,Low
MAT-01379,Recloser Control Package — Type 32,Recloser Control Package,Protection,Each,13526,Medium
MAT-01380,Switchgear Cabinet — Type 32,Switchgear Cabinet,Protection,Each,23224,Critical
MAT-01381,Smart Meter — Type 32,Smart Meter,Metering,Each,154,Medium
MAT-01382,Communication Gateway — Type 32,Communication Gateway,Communications,Each,876,Low
MAT-01383,Grounding Kit — Type 32,Grounding Kit,Accessories,Kit,160,High
MAT-01384,Connector Set — Type 32,Connector Set,Accessories,Kit,71,High
MAT-01385,Composite Utility Pole — Type 33,Composite Utility Pole,Structures,Each,2240,High
MAT-01386,Crossarm Assembly — Type 33,Crossarm Assembly,Structures,Each,369,Low
MAT-01387,15 kV Cable — Type 33,15 kV Cable,Conductor,Foot,13,Low
MAT-01388,35 kV Cable — Type 33,35 kV Cable,Conductor,Foot,29,Low
MAT-01389,Pad-Mount Transformer 500 kVA — Type 33,Pad-Mount Transformer 500 kVA,Transformers,Each,24348,Critical
MAT-01390,Pole-Mount Transformer 50 kVA — Type 33,Pole-Mount Transformer 50 kVA,Transformers,Each,7699,Low
MAT-01391,Recloser Control Package — Type 33,Recloser Control Package,Protection,Each,15946,Critical
MAT-01392,Switchgear Cabinet — Type 33,Switchgear Cabinet,Protection,Each,20229,High
MAT-01393,Smart Meter — Type 33,Smart Meter,Metering,Each,185,Critical
MAT-01394,Communication Gateway — Type 33,Communication Gateway,Communications,Each,1015,Medium
MAT-01395,Grounding Kit — Type 33,Grounding Kit,Accessories,Kit,162,Critical
MAT-01396,Connector Set — Type 33,Connector Set,Accessories,Kit,66,Medium
MAT-01397,Composite Utility Pole — Type 34,Composite Utility Pole,Structures,Each,2324,High
MAT-01398,Crossarm Assembly — Type 34,Crossarm Assembly,Structures,Each,385,Medium
MAT-01399,15 kV Cable — Type 34,15 kV Cable,Conductor,Foot,12,Medium
MAT-01400,35 kV Cable — Type 34,35 kV Cable,Conductor,Foot,34,Low
MAT-01401,Pad-Mount Transformer 500 kVA — Type 34,Pad-Mount Transformer 500 kVA,Transformers,Each,22062,Critical
MAT-01402,Pole-Mount Transformer 50 kVA — Type 34,Pole-Mount Transformer 50 kVA,Transformers,Each,5518,Low
MAT-01403,Recloser Control Package — Type 34,Recloser Control Package,Protection,Each,14511,High
MAT-01404,Switchgear Cabinet — Type 34,Switchgear Cabinet,Protection,Each,21927,Medium
MAT-01405,Smart Meter — Type 34,Smart Meter,Metering,Each,163,Medium
MAT-01406,Communication Gateway — Type 34,Communication Gateway,Communications,Each,1232,Low
MAT-01407,Grounding Kit — Type 34,Grounding Kit,Accessories,Kit,117,Critical
MAT-01408,Connector Set — Type 34,Connector Set,Accessories,Kit,57,Critical
MAT-01409,Composite Utility Pole — Type 35,Composite Utility Pole,Structures,Each,2584,Medium
MAT-01410,Crossarm Assembly — Type 35,Crossarm Assembly,Structures,Each,447,Medium
MAT-01411,15 kV Cable — Type 35,15 kV Cable,Conductor,Foot,12,Medium
MAT-01412,35 kV Cable — Type 35,35 kV Cable,Conductor,Foot,31,Low
MAT-01413,Pad-Mount Transformer 500 kVA — Type 35,Pad-Mount Transformer 500 kVA,Transformers,Each,28039,Critical
MAT-01414,Pole-Mount Transformer 50 kVA — Type 35,Pole-Mount Transformer 50 kVA,Transformers,Each,7671,Low
MAT-01415,Recloser Control Package — Type 35,Recloser Control Package,Protection,Each,16206,Critical
MAT-01416,Switchgear Cabinet — Type 35,Switchgear Cabinet,Protection,Each,19426,High
MAT-01417,Smart Meter — Type 35,Smart Meter,Metering,Each,125,Medium
MAT-01418,Communication Gateway — Type 35,Communication Gateway,Communications,Each,1102,Low
MAT-01419,Grounding Kit — Type 35,Grounding Kit,Accessories,Kit,126,High
MAT-01420,Connector Set — Type 35,Connector Set,Accessories,Kit,83,Critical
MAT-01421,Composite Utility Pole — Type 36,Composite Utility Pole,Structures,Each,2367,Critical
MAT-01422,Crossarm Assembly — Type 36,Crossarm Assembly,Structures,Each,371,Low
MAT-01423,15 kV Cable — Type 36,15 kV Cable,Conductor,Foot,14,Medium
MAT-01424,35 kV Cable — Type 36,35 kV Cable,Conductor,Foot,29,Low
MAT-01425,Pad-Mount Transformer 500 kVA — Type 36,Pad-Mount Transformer 500 kVA,Transformers,Each,32717,Critical
MAT-01426,Pole-Mount Transformer 50 kVA — Type 36,Pole-Mount Transformer 50 kVA,Transformers,Each,6868,Low
MAT-01427,Recloser Control Package — Type 36,Recloser Control Package,Protection,Each,18401,High
MAT-01428,Switchgear Cabinet — Type 36,Switchgear Cabinet,Protection,Each,15783,Critical
MAT-01429,Smart Meter — Type 36,Smart Meter,Metering,Each,177,High
MAT-01430,Communication Gateway — Type 36,Communication Gateway,Communications,Each,1226,Low
MAT-01431,Grounding Kit — Type 36,Grounding Kit,Accessories,Kit,126,Critical
MAT-01432,Connector Set — Type 36,Connector Set,Accessories,Kit,76,High
MAT-01433,Composite Utility Pole — Type 37,Composite Utility Pole,Structures,Each,1958,Critical
MAT-01434,Crossarm Assembly — Type 37,Crossarm Assembly,Structures,Each,507,Medium
MAT-01435,15 kV Cable — Type 37,15 kV Cable,Conductor,Foot,14,Low
MAT-01436,35 kV Cable — Type 37,35 kV Cable,Conductor,Foot,28,Medium
MAT-01437,Pad-Mount Transformer 500 kVA — Type 37,Pad-Mount Transformer 500 kVA,Transformers,Each,24193,Critical
MAT-01438,Pole-Mount Transformer 50 kVA — Type 37,Pole-Mount Transformer 50 kVA,Transformers,Each,5819,Low
MAT-01439,Recloser Control Package — Type 37,Recloser Control Package,Protection,Each,14625,High
MAT-01440,Switchgear Cabinet — Type 37,Switchgear Cabinet,Protection,Each,23101,Critical
MAT-01441,Smart Meter — Type 37,Smart Meter,Metering,Each,119,High
MAT-01442,Communication Gateway — Type 37,Communication Gateway,Communications,Each,1182,Medium
MAT-01443,Grounding Kit — Type 37,Grounding Kit,Accessories,Kit,153,High
MAT-01444,Connector Set — Type 37,Connector Set,Accessories,Kit,87,High
MAT-01445,Composite Utility Pole — Type 38,Composite Utility Pole,Structures,Each,1871,High
MAT-01446,Crossarm Assembly — Type 38,Crossarm Assembly,Structures,Each,525,Low
MAT-01447,15 kV Cable — Type 38,15 kV Cable,Conductor,Foot,10,Low
MAT-01448,35 kV Cable — Type 38,35 kV Cable,Conductor,Foot,26,Medium
MAT-01449,Pad-Mount Transformer 500 kVA — Type 38,Pad-Mount Transformer 500 kVA,Transformers,Each,29255,Critical
MAT-01450,Pole-Mount Transformer 50 kVA — Type 38,Pole-Mount Transformer 50 kVA,Transformers,Each,5587,Medium
MAT-01451,Recloser Control Package — Type 38,Recloser Control Package,Protection,Each,15573,Medium
MAT-01452,Switchgear Cabinet — Type 38,Switchgear Cabinet,Protection,Each,21284,Critical
MAT-01453,Smart Meter — Type 38,Smart Meter,Metering,Each,186,Medium
MAT-01454,Communication Gateway — Type 38,Communication Gateway,Communications,Each,1132,Low
MAT-01455,Grounding Kit — Type 38,Grounding Kit,Accessories,Kit,126,High
MAT-01456,Connector Set — Type 38,Connector Set,Accessories,Kit,57,High
MAT-01457,Composite Utility Pole — Type 39,Composite Utility Pole,Structures,Each,2063,Critical
MAT-01458,Crossarm Assembly — Type 39,Crossarm Assembly,Structures,Each,503,Medium
MAT-01459,15 kV Cable — Type 39,15 kV Cable,Conductor,Foot,12,Medium
MAT-01460,35 kV Cable — Type 39,35 kV Cable,Conductor,Foot,28,Medium
MAT-01461,Pad-Mount Transformer 500 kVA — Type 39,Pad-Mount Transformer 500 kVA,Transformers,Each,23041,Critical
MAT-01462,Pole-Mount Transformer 50 kVA — Type 39,Pole-Mount Transformer 50 kVA,Transformers,Each,5522,Low
MAT-01463,Recloser Control Package — Type 39,Recloser Control Package,Protection,Each,12340,Medium
MAT-01464,Switchgear Cabinet — Type 39,Switchgear Cabinet,Protection,Each,19393,Medium
MAT-01465,Smart Meter — Type 39,Smart Meter,Metering,Each,121,Critical
MAT-01466,Communication Gateway — Type 39,Communication Gateway,Communications,Each,879,Medium
MAT-01467,Grounding Kit — Type 39,Grounding Kit,Accessories,Kit,158,Critical
MAT-01468,Connector Set — Type 39,Connector Set,Accessories,Kit,81,High
MAT-01469,Composite Utility Pole — Type 40,Composite Utility Pole,Structures,Each,2103,High
MAT-01470,Crossarm Assembly — Type 40,Crossarm Assembly,Structures,Each,490,Low
MAT-01471,15 kV Cable — Type 40,15 kV Cable,Conductor,Foot,14,Low
MAT-01472,35 kV Cable — Type 40,35 kV Cable,Conductor,Foot,25,Low
MAT-01473,Pad-Mount Transformer 500 kVA — Type 40,Pad-Mount Transformer 500 kVA,Transformers,Each,30308,Critical
MAT-01474,Pole-Mount Transformer 50 kVA — Type 40,Pole-Mount Transformer 50 kVA,Transformers,Each,5587,Low
MAT-01475,Recloser Control Package — Type 40,Recloser Control Package,Protection,Each,17380,Critical
MAT-01476,Switchgear Cabinet — Type 40,Switchgear Cabinet,Protection,Each,16779,Critical
MAT-01477,Smart Meter — Type 40,Smart Meter,Metering,Each,149,Medium
MAT-01478,Communication Gateway — Type 40,Communication Gateway,Communications,Each,1243,Medium
MAT-01479,Grounding Kit — Type 40,Grounding Kit,Accessories,Kit,118,Critical
MAT-01480,Connector Set — Type 40,Connector Set,Accessories,Kit,65,High
MAT-01481,Composite Utility Pole — Type 41,Composite Utility Pole,Structures,Each,2269,High
MAT-01482,Crossarm Assembly — Type 41,Crossarm Assembly,Structures,Each,482,Medium
MAT-01483,15 kV Cable — Type 41,15 kV Cable,Conductor,Foot,10,Low
MAT-01484,35 kV Cable — Type 41,35 kV Cable,Conductor,Foot,25,Low
MAT-01485,Pad-Mount Transformer 500 kVA — Type 41,Pad-Mount Transformer 500 kVA,Transformers,Each,30385,Critical
MAT-01486,Pole-Mount Transformer 50 kVA — Type 41,Pole-Mount Transformer 50 kVA,Transformers,Each,6183,Low
MAT-01487,Recloser Control Package — Type 41,Recloser Control Package,Protection,Each,15371,High
MAT-01488,Switchgear Cabinet — Type 41,Switchgear Cabinet,Protection,Each,21494,High
MAT-01489,Smart Meter — Type 41,Smart Meter,Metering,Each,119,High
MAT-01490,Communication Gateway — Type 41,Communication Gateway,Communications,Each,1095,Medium
MAT-01491,Grounding Kit — Type 41,Grounding Kit,Accessories,Kit,160,Critical
MAT-01492,Connector Set — Type 41,Connector Set,Accessories,Kit,85,High
MAT-01493,Composite Utility Pole — Type 42,Composite Utility Pole,Structures,Each,1930,High
MAT-01494,Crossarm Assembly — Type 42,Crossarm Assembly,Structures,Each,476,Low
MAT-01495,15 kV Cable — Type 42,15 kV Cable,Conductor,Foot,10,Low
MAT-01496,35 kV Cable — Type 42,35 kV Cable,Conductor,Foot,24,Low
MAT-01497,Pad-Mount Transformer 500 kVA — Type 42,Pad-Mount Transformer 500 kVA,Transformers,Each,31609,Critical
MAT-01498,Pole-Mount Transformer 50 kVA — Type 42,Pole-Mount Transformer 50 kVA,Transformers,Each,5242,Low
MAT-01499,Recloser Control Package — Type 42,Recloser Control Package,Protection,Each,13656,High
MAT-01500,Switchgear Cabinet — Type 42,Switchgear Cabinet,Protection,Each,23344,Medium
MAT-01501,Smart Meter — Type 42,Smart Meter,Metering,Each,126,Medium
MAT-01502,Communication Gateway — Type 42,Communication Gateway,Communications,Each,1083,Low
MAT-01503,Grounding Kit — Type 42,Grounding Kit,Accessories,Kit,158,High
MAT-01504,Connector Set — Type 42,Connector Set,Accessories,Kit,72,Critical
MAT-01505,Composite Utility Pole — Type 43,Composite Utility Pole,Structures,Each,1765,Medium
MAT-01506,Crossarm Assembly — Type 43,Crossarm Assembly,Structures,Each,528,Low
MAT-01507,15 kV Cable — Type 43,15 kV Cable,Conductor,Foot,14,Medium
MAT-01508,35 kV Cable — Type 43,35 kV Cable,Conductor,Foot,28,Medium
MAT-01509,Pad-Mount Transformer 500 kVA — Type 43,Pad-Mount Transformer 500 kVA,Transformers,Each,32932,Critical
MAT-01510,Pole-Mount Transformer 50 kVA — Type 43,Pole-Mount Transformer 50 kVA,Transformers,Each,6752,Low
MAT-01511,Recloser Control Package — Type 43,Recloser Control Package,Protection,Each,14032,Critical
MAT-01512,Switchgear Cabinet — Type 43,Switchgear Cabinet,Protection,Each,23150,Medium
MAT-01513,Smart Meter — Type 43,Smart Meter,Metering,Each,143,High
MAT-01514,Communication Gateway — Type 43,Communication Gateway,Communications,Each,1089,Low
MAT-01515,Grounding Kit — Type 43,Grounding Kit,Accessories,Kit,162,Critical
MAT-01516,Connector Set — Type 43,Connector Set,Accessories,Kit,70,Medium
MAT-01517,Composite Utility Pole — Type 44,Composite Utility Pole,Structures,Each,2168,High
MAT-01518,Crossarm Assembly — Type 44,Crossarm Assembly,Structures,Each,406,Low
MAT-01519,15 kV Cable — Type 44,15 kV Cable,Conductor,Foot,12,Low
MAT-01520,35 kV Cable — Type 44,35 kV Cable,Conductor,Foot,31,Low
MAT-01521,Pad-Mount Transformer 500 kVA — Type 44,Pad-Mount Transformer 500 kVA,Transformers,Each,23886,Critical
MAT-01522,Pole-Mount Transformer 50 kVA — Type 44,Pole-Mount Transformer 50 kVA,Transformers,Each,5818,Medium
MAT-01523,Recloser Control Package — Type 44,Recloser Control Package,Protection,Each,18076,Medium
MAT-01524,Switchgear Cabinet — Type 44,Switchgear Cabinet,Protection,Each,16040,Critical
MAT-01525,Smart Meter — Type 44,Smart Meter,Metering,Each,145,Critical
MAT-01526,Communication Gateway — Type 44,Communication Gateway,Communications,Each,806,Low
MAT-01527,Grounding Kit — Type 44,Grounding Kit,Accessories,Kit,147,High
MAT-01528,Connector Set — Type 44,Connector Set,Accessories,Kit,79,Medium
MAT-01529,Composite Utility Pole — Type 45,Composite Utility Pole,Structures,Each,2202,High
MAT-01530,Crossarm Assembly — Type 45,Crossarm Assembly,Structures,Each,496,Low
MAT-01531,15 kV Cable — Type 45,15 kV Cable,Conductor,Foot,15,Medium
MAT-01532,35 kV Cable — Type 45,35 kV Cable,Conductor,Foot,25,Low
MAT-01533,Pad-Mount Transformer 500 kVA — Type 45,Pad-Mount Transformer 500 kVA,Transformers,Each,30588,High
MAT-01534,Pole-Mount Transformer 50 kVA — Type 45,Pole-Mount Transformer 50 kVA,Transformers,Each,7837,Low
MAT-01535,Recloser Control Package — Type 45,Recloser Control Package,Protection,Each,17597,Critical
MAT-01536,Switchgear Cabinet — Type 45,Switchgear Cabinet,Protection,Each,23255,High
MAT-01537,Smart Meter — Type 45,Smart Meter,Metering,Each,126,High
MAT-01538,Communication Gateway — Type 45,Communication Gateway,Communications,Each,1058,Low
MAT-01539,Grounding Kit — Type 45,Grounding Kit,Accessories,Kit,143,Critical
MAT-01540,Connector Set — Type 45,Connector Set,Accessories,Kit,69,High
MAT-01541,Composite Utility Pole — Type 46,Composite Utility Pole,Structures,Each,2490,Medium
MAT-01542,Crossarm Assembly — Type 46,Crossarm Assembly,Structures,Each,403,Low
MAT-01543,15 kV Cable — Type 46,15 kV Cable,Conductor,Foot,10,Low
MAT-01544,35 kV Cable — Type 46,35 kV Cable,Conductor,Foot,31,Low
MAT-01545,Pad-Mount Transformer 500 kVA — Type 46,Pad-Mount Transformer 500 kVA,Transformers,Each,29313,Critical
MAT-01546,Pole-Mount Transformer 50 kVA — Type 46,Pole-Mount Transformer 50 kVA,Transformers,Each,5198,Low
MAT-01547,Recloser Control Package — Type 46,Recloser Control Package,Protection,Each,15373,High
MAT-01548,Switchgear Cabinet — Type 46,Switchgear Cabinet,Protection,Each,17227,Medium
MAT-01549,Smart Meter — Type 46,Smart Meter,Metering,Each,125,Medium
MAT-01550,Communication Gateway — Type 46,Communication Gateway,Communications,Each,1168,Low
MAT-01551,Grounding Kit — Type 46,Grounding Kit,Accessories,Kit,111,Critical
MAT-01552,Connector Set — Type 46,Connector Set,Accessories,Kit,76,Critical
MAT-01553,Composite Utility Pole — Type 47,Composite Utility Pole,Structures,Each,2138,Medium
MAT-01554,Crossarm Assembly — Type 47,Crossarm Assembly,Structures,Each,536,Low
MAT-01555,15 kV Cable — Type 47,15 kV Cable,Conductor,Foot,10,Low
MAT-01556,35 kV Cable — Type 47,35 kV Cable,Conductor,Foot,33,Low
MAT-01557,Pad-Mount Transformer 500 kVA — Type 47,Pad-Mount Transformer 500 kVA,Transformers,Each,32513,Critical
MAT-01558,Pole-Mount Transformer 50 kVA — Type 47,Pole-Mount Transformer 50 kVA,Transformers,Each,5255,Low
MAT-01559,Recloser Control Package — Type 47,Recloser Control Package,Protection,Each,12929,Medium
MAT-01560,Switchgear Cabinet — Type 47,Switchgear Cabinet,Protection,Each,20539,Critical
MAT-01561,Smart Meter — Type 47,Smart Meter,Metering,Each,149,Medium
MAT-01562,Communication Gateway — Type 47,Communication Gateway,Communications,Each,944,Medium
MAT-01563,Grounding Kit — Type 47,Grounding Kit,Accessories,Kit,124,High
MAT-01564,Connector Set — Type 47,Connector Set,Accessories,Kit,83,Medium
MAT-01565,Composite Utility Pole — Type 48,Composite Utility Pole,Structures,Each,2524,High
MAT-01566,Crossarm Assembly — Type 48,Crossarm Assembly,Structures,Each,527,Medium
MAT-01567,15 kV Cable — Type 48,15 kV Cable,Conductor,Foot,14,Low
MAT-01568,35 kV Cable — Type 48,35 kV Cable,Conductor,Foot,33,Low
MAT-01569,Pad-Mount Transformer 500 kVA — Type 48,Pad-Mount Transformer 500 kVA,Transformers,Each,29750,Critical
MAT-01570,Pole-Mount Transformer 50 kVA — Type 48,Pole-Mount Transformer 50 kVA,Transformers,Each,6186,Low
MAT-01571,Recloser Control Package — Type 48,Recloser Control Package,Protection,Each,14501,Critical
MAT-01572,Switchgear Cabinet — Type 48,Switchgear Cabinet,Protection,Each,22396,Medium
MAT-01573,Smart Meter — Type 48,Smart Meter,Metering,Each,181,Medium
MAT-01574,Communication Gateway — Type 48,Communication Gateway,Communications,Each,875,Low
MAT-01575,Grounding Kit — Type 48,Grounding Kit,Accessories,Kit,165,Critical
MAT-01576,Connector Set — Type 48,Connector Set,Accessories,Kit,85,High
MAT-01577,Composite Utility Pole — Type 49,Composite Utility Pole,Structures,Each,1950,High
MAT-01578,Crossarm Assembly — Type 49,Crossarm Assembly,Structures,Each,357,Low
MAT-01579,15 kV Cable — Type 49,15 kV Cable,Conductor,Foot,13,Low
MAT-01580,35 kV Cable — Type 49,35 kV Cable,Conductor,Foot,30,Low
MAT-01581,Pad-Mount Transformer 500 kVA — Type 49,Pad-Mount Transformer 500 kVA,Transformers,Each,30895,Critical
MAT-01582,Pole-Mount Transformer 50 kVA — Type 49,Pole-Mount Transformer 50 kVA,Transformers,Each,7790,Medium
MAT-01583,Recloser Control Package — Type 49,Recloser Control Package,Protection,Each,12494,High
MAT-01584,Switchgear Cabinet — Type 49,Switchgear Cabinet,Protection,Each,23845,High
MAT-01585,Smart Meter — Type 49,Smart Meter,Metering,Each,170,High
MAT-01586,Communication Gateway — Type 49,Communication Gateway,Communications,Each,948,Low
MAT-01587,Grounding Kit — Type 49,Grounding Kit,Accessories,Kit,147,Critical
MAT-01588,Connector Set — Type 49,Connector Set,Accessories,Kit,78,Medium
MAT-01589,Composite Utility Pole — Type 50,Composite Utility Pole,Structures,Each,2627,Critical
MAT-01590,Crossarm Assembly — Type 50,Crossarm Assembly,Structures,Each,441,Low
MAT-01591,15 kV Cable — Type 50,15 kV Cable,Conductor,Foot,13,Low
MAT-01592,35 kV Cable — Type 50,35 kV Cable,Conductor,Foot,28,Medium
MAT-01593,Pad-Mount Transformer 500 kVA — Type 50,Pad-Mount Transformer 500 kVA,Transformers,Each,26364,Critical
MAT-01594,Pole-Mount Transformer 50 kVA — Type 50,Pole-Mount Transformer 50 kVA,Transformers,Each,5734,Low
MAT-01595,Recloser Control Package — Type 50,Recloser Control Package,Protection,Each,12229,Medium
MAT-01596,Switchgear Cabinet — Type 50,Switchgear Cabinet,Protection,Each,23418,High
MAT-01597,Smart Meter — Type 50,Smart Meter,Metering,Each,123,Critical
MAT-01598,Communication Gateway — Type 50,Communication Gateway,Communications,Each,1156,Low
MAT-01599,Grounding Kit — Type 50,Grounding Kit,Accessories,Kit,145,Critical
MAT-01600,Connector Set — Type 50,Connector Set,Accessories,Kit,67,High
MAT-01601,Composite Utility Pole — Type 51,Composite Utility Pole,Structures,Each,2371,Critical
MAT-01602,Crossarm Assembly — Type 51,Crossarm Assembly,Structures,Each,427,Low
MAT-01603,15 kV Cable — Type 51,15 kV Cable,Conductor,Foot,13,Low
MAT-01604,35 kV Cable — Type 51,35 kV Cable,Conductor,Foot,25,Low
MAT-01605,Pad-Mount Transformer 500 kVA — Type 51,Pad-Mount Transformer 500 kVA,Transformers,Each,22889,Critical
MAT-01606,Pole-Mount Transformer 50 kVA — Type 51,Pole-Mount Transformer 50 kVA,Transformers,Each,7215,Low
MAT-01607,Recloser Control Package — Type 51,Recloser Control Package,Protection,Each,13708,Medium
