Subproject_ID,Project_ID,Material_ID,Required_Date,Estimated_Qty,Reserved_Qty,Issued_Qty,Forecast_Unit_Cost_$,Forecast_Material_Cost_$,Availability_Status,Lead_Time_Risk,Need_By_Quarter
PRJ-000409-SP05,PRJ-000409,MAT-1002,2028-09-01,47,17,1,420,19740,Partial,Within Lead Time,Q3 2028
PRJ-000409-SP06,PRJ-000409,MAT-1002,2026-05-01,23,20,20,420,9660,Partial,At Risk,Q2 2026
PRJ-000409-SP07,PRJ-000409,MAT-1008,2026-09-01,68,7,3,19000,1292000,Partial,At Risk,Q3 2026
PRJ-000410-SP01,PRJ-000410,MAT-1002,2027-03-01,67,64,41,420,28140,Partial,Within Lead Time,Q1 2027
PRJ-000410-SP02,PRJ-000410,MAT-1010,2027-05-01,29,22,14,980,28420,Partial,Within Lead Time,Q2 2027
PRJ-000410-SP03,PRJ-000410,MAT-1010,2026-05-01,78,37,10,980,76440,Partial,At Risk,Q2 2026
PRJ-000410-SP04,PRJ-000410,MAT-1001,2028-11-01,52,4,3,2100,109200,Partial,Within Lead Time,Q4 2028
PRJ-000410-SP05,PRJ-000410,MAT-1012,2027-01-01,52,45,5,68,3536,Partial,Within Lead Time,Q1 2027
PRJ-000410-SP06,PRJ-000410,MAT-1007,2028-04-01,63,13,6,14500,913500,Partial,Within Lead Time,Q2 2028
PRJ-000411-SP01,PRJ-000411,MAT-1006,2026-03-01,57,36,22,6200,353400,Partial,At Risk,Q1 2026
PRJ-000411-SP02,PRJ-000411,MAT-1004,2026-05-01,8095,6772,4149,27,218565,Partial,At Risk,Q2 2026
PRJ-000411-SP03,PRJ-000411,MAT-1010,2028-05-01,3,3,1,980,2940,Partial,Within Lead Time,Q2 2028
PRJ-000411-SP04,PRJ-000411,MAT-1008,2027-12-01,46,23,10,19000,874000,Partial,Within Lead Time,Q4 2027
PRJ-000412-SP01,PRJ-000412,MAT-1007,2026-02-01,13,10,9,14500,188500,Partial,At Risk,Q1 2026
PRJ-000412-SP02,PRJ-000412,MAT-1003,2029-01-01,5083,1435,786,12,60996,Partial,Within Lead Time,Q1 2029
PRJ-000413-SP01,PRJ-000413,MAT-1010,2027-06-01,65,8,6,980,63700,Partial,Within Lead Time,Q2 2027
PRJ-000413-SP02,PRJ-000413,MAT-1009,2028-06-01,5,5,4,145,725,Partial,Within Lead Time,Q2 2028
PRJ-000413-SP03,PRJ-000413,MAT-1003,2026-09-01,5433,2004,1734,12,65196,Partial,At Risk,Q3 2026
PRJ-000414-SP01,PRJ-000414,MAT-1012,2026-07-01,44,28,17,68,2992,Partial,At Risk,Q3 2026
PRJ-000414-SP02,PRJ-000414,MAT-1007,2026-03-01,63,38,15,14500,913500,Partial,At Risk,Q1 2026
PRJ-000414-SP03,PRJ-000414,MAT-1011,2027-05-01,24,13,1,130,3120,Partial,Within Lead Time,Q2 2027
PRJ-000414-SP04,PRJ-000414,MAT-1008,2027-12-01,68,43,14,19000,1292000,Partial,Within Lead Time,Q4 2027
PRJ-000414-SP05,PRJ-000414,MAT-1008,2026-06-01,24,21,8,19000,456000,Partial,At Risk,Q2 2026
PRJ-000414-SP06,PRJ-000414,MAT-1001,2027-06-01,20,1,1,2100,42000,Partial,Within Lead Time,Q2 2027
PRJ-000414-SP07,PRJ-000414,MAT-1001,2028-03-01,61,20,12,2100,128100,Partial,Within Lead Time,Q1 2028
PRJ-000415-SP01,PRJ-000415,MAT-1008,2027-02-01,14,4,2,19000,266000,Partial,Within Lead Time,Q1 2027
PRJ-000415-SP02,PRJ-000415,MAT-1005,2026-09-01,47,15,4,26000,1222000,Partial,At Risk,Q3 2026
PRJ-000415-SP03,PRJ-000415,MAT-1002,2027-11-01,35,18,17,420,14700,Partial,Within Lead Time,Q4 2027
PRJ-000415-SP04,PRJ-000415,MAT-1004,2026-07-01,6932,1025,534,27,187164,Partial,At Risk,Q3 2026
PRJ-000415-SP05,PRJ-000415,MAT-1006,2027-02-01,38,11,10,6200,235600,Partial,Within Lead Time,Q1 2027
PRJ-000416-SP01,PRJ-000416,MAT-1004,2027-11-01,4253,602,550,27,114831,Partial,Within Lead Time,Q4 2027
PRJ-000416-SP02,PRJ-000416,MAT-1003,2028-09-01,7607,1648,1176,12,91284,Partial,Within Lead Time,Q3 2028
PRJ-000416-SP03,PRJ-000416,MAT-1004,2026-02-01,1317,504,204,27,35559,Partial,At Risk,Q1 2026
PRJ-000416-SP04,PRJ-000416,MAT-1002,2026-02-01,29,26,23,420,12180,Partial,At Risk,Q1 2026
PRJ-000416-SP05,PRJ-000416,MAT-1007,2027-05-01,43,40,30,14500,623500,Partial,Within Lead Time,Q2 2027
PRJ-000416-SP06,PRJ-000416,MAT-1004,2026-01-01,6177,2334,771,27,166779,Partial,At Risk,Q1 2026
PRJ-000416-SP07,PRJ-000416,MAT-1003,2028-10-01,4857,2981,2341,12,58284,Partial,Within Lead Time,Q4 2028
PRJ-000416-SP08,PRJ-000416,MAT-1011,2026-11-01,62,61,59,130,8060,Partial,Within Lead Time,Q4 2026
PRJ-000417-SP01,PRJ-000417,MAT-1002,2028-07-01,51,30,2,420,21420,Partial,Within Lead Time,Q3 2028
PRJ-000417-SP02,PRJ-000417,MAT-1006,2028-02-01,71,51,20,6200,440200,Partial,Within Lead Time,Q1 2028
PRJ-000417-SP03,PRJ-000417,MAT-1001,2028-01-01,51,0,0,2100,107100,Not Reserved,Within Lead Time,Q1 2028
PRJ-000417-SP04,PRJ-000417,MAT-1007,2027-11-01,14,11,9,14500,203000,Partial,Within Lead Time,Q4 2027
PRJ-000417-SP05,PRJ-000417,MAT-1008,2029-01-01,9,4,0,19000,171000,Partial,Within Lead Time,Q1 2029
PRJ-000417-SP06,PRJ-000417,MAT-1007,2028-07-01,27,24,17,14500,391500,Partial,Within Lead Time,Q3 2028
PRJ-000417-SP07,PRJ-000417,MAT-1009,2027-09-01,41,40,9,145,5945,Partial,Within Lead Time,Q3 2027
PRJ-000417-SP08,PRJ-000417,MAT-1003,2027-02-01,9278,1241,870,12,111336,Partial,Within Lead Time,Q1 2027
PRJ-000418-SP01,PRJ-000418,MAT-1006,2026-06-01,25,20,1,6200,155000,Partial,At Risk,Q2 2026
PRJ-000418-SP02,PRJ-000418,MAT-1003,2028-12-01,8885,7904,4966,12,106620,Partial,Within Lead Time,Q4 2028
PRJ-000418-SP03,PRJ-000418,MAT-1001,2026-11-01,79,2,1,2100,165900,Partial,Within Lead Time,Q4 2026
PRJ-000418-SP04,PRJ-000418,MAT-1010,2027-05-01,51,37,22,980,49980,Partial,Within Lead Time,Q2 2027
PRJ-000418-SP05,PRJ-000418,MAT-1011,2026-10-01,5,4,0,130,650,Partial,Within Lead Time,Q4 2026
PRJ-000418-SP06,PRJ-000418,MAT-1008,2028-09-01,20,11,5,19000,380000,Partial,Within Lead Time,Q3 2028
PRJ-000418-SP07,PRJ-000418,MAT-1010,2026-12-01,23,7,3,980,22540,Partial,Within Lead Time,Q4 2026
PRJ-000419-SP01,PRJ-000419,MAT-1006,2028-03-01,74,70,8,6200,458800,Partial,Within Lead Time,Q1 2028
PRJ-000419-SP02,PRJ-000419,MAT-1008,2028-04-01,34,28,10,19000,646000,Partial,Within Lead Time,Q2 2028
PRJ-000420-SP01,PRJ-000420,MAT-1005,2026-05-01,65,16,8,26000,1690000,Partial,At Risk,Q2 2026
PRJ-000420-SP02,PRJ-000420,MAT-1003,2026-04-01,4200,4197,702,12,50400,Partial,At Risk,Q2 2026
PRJ-000421-SP01,PRJ-000421,MAT-1009,2027-02-01,43,26,12,145,6235,Partial,Within Lead Time,Q1 2027
PRJ-000421-SP02,PRJ-000421,MAT-1003,2028-12-01,4165,885,511,12,49980,Partial,Within Lead Time,Q4 2028
PRJ-000421-SP03,PRJ-000421,MAT-1006,2028-09-01,80,16,3,6200,496000,Partial,Within Lead Time,Q3 2028
PRJ-000421-SP04,PRJ-000421,MAT-1010,2028-09-01,54,47,3,980,52920,Partial,Within Lead Time,Q3 2028
PRJ-000421-SP05,PRJ-000421,MAT-1011,2026-05-01,9,1,0,130,1170,Partial,At Risk,Q2 2026
PRJ-000421-SP06,PRJ-000421,MAT-1012,2028-04-01,60,60,45,68,4080,Partial,Within Lead Time,Q2 2028
PRJ-000422-SP01,PRJ-000422,MAT-1003,2028-01-01,4845,453,11,12,58140,Partial,Within Lead Time,Q1 2028
PRJ-000422-SP02,PRJ-000422,MAT-1011,2026-08-01,38,27,9,130,4940,Partial,At Risk,Q3 2026
PRJ-000422-SP03,PRJ-000422,MAT-1005,2028-08-01,65,15,6,26000,1690000,Partial,Within Lead Time,Q3 2028
PRJ-000422-SP04,PRJ-000422,MAT-1008,2028-12-01,49,20,6,19000,931000,Partial,Within Lead Time,Q4 2028
PRJ-000423-SP01,PRJ-000423,MAT-1007,2028-10-01,67,55,23,14500,971500,Partial,Within Lead Time,Q4 2028
PRJ-000423-SP02,PRJ-000423,MAT-1012,2027-01-01,47,38,34,68,3196,Partial,Within Lead Time,Q1 2027
PRJ-000423-SP03,PRJ-000423,MAT-1004,2028-08-01,7131,171,125,27,192537,Partial,Within Lead Time,Q3 2028
PRJ-000423-SP04,PRJ-000423,MAT-1002,2028-02-01,18,14,14,420,7560,Partial,Within Lead Time,Q1 2028
PRJ-000423-SP05,PRJ-000423,MAT-1004,2026-09-01,1164,880,26,27,31428,Partial,At Risk,Q3 2026
PRJ-000423-SP06,PRJ-000423,MAT-1005,2028-11-01,57,8,5,26000,1482000,Partial,Within Lead Time,Q4 2028
PRJ-000423-SP07,PRJ-000423,MAT-1008,2027-09-01,40,22,3,19000,760000,Partial,Within Lead Time,Q3 2027
PRJ-000424-SP01,PRJ-000424,MAT-1012,2026-01-01,40,8,5,68,2720,Partial,At Risk,Q1 2026
PRJ-000424-SP02,PRJ-000424,MAT-1012,2027-01-01,52,1,1,68,3536,Partial,Within Lead Time,Q1 2027
PRJ-000424-SP03,PRJ-000424,MAT-1004,2027-07-01,6242,2266,1641,27,168534,Partial,Within Lead Time,Q3 2027
PRJ-000424-SP04,PRJ-000424,MAT-1006,2028-12-01,49,38,2,6200,303800,Partial,Within Lead Time,Q4 2028
PRJ-000425-SP01,PRJ-000425,MAT-1011,2029-01-01,64,7,4,130,8320,Partial,Within Lead Time,Q1 2029
PRJ-000425-SP02,PRJ-000425,MAT-1012,2028-11-01,42,22,3,68,2856,Partial,Within Lead Time,Q4 2028
PRJ-000425-SP03,PRJ-000425,MAT-1012,2026-11-01,4,2,1,68,272,Partial,Within Lead Time,Q4 2026
PRJ-000426-SP01,PRJ-000426,MAT-1006,2028-10-01,55,11,6,6200,341000,Partial,Within Lead Time,Q4 2028
PRJ-000426-SP02,PRJ-000426,MAT-1002,2027-03-01,66,61,46,420,27720,Partial,Within Lead Time,Q1 2027
PRJ-000427-SP01,PRJ-000427,MAT-1003,2028-09-01,7165,5311,2722,12,85980,Partial,Within Lead Time,Q3 2028
PRJ-000427-SP02,PRJ-000427,MAT-1005,2028-02-01,72,27,20,26000,1872000,Partial,Within Lead Time,Q1 2028
PRJ-000427-SP03,PRJ-000427,MAT-1004,2028-07-01,9003,8526,4910,27,243081,Partial,Within Lead Time,Q3 2028
PRJ-000427-SP04,PRJ-000427,MAT-1004,2028-02-01,5467,153,2,27,147609,Partial,Within Lead Time,Q1 2028
PRJ-000428-SP01,PRJ-000428,MAT-1008,2026-04-01,17,3,1,19000,323000,Partial,At Risk,Q2 2026
PRJ-000428-SP02,PRJ-000428,MAT-1011,2027-10-01,14,1,0,130,1820,Partial,Within Lead Time,Q4 2027
PRJ-000428-SP03,PRJ-000428,MAT-1008,2028-08-01,29,18,16,19000,551000,Partial,Within Lead Time,Q3 2028
PRJ-000428-SP04,PRJ-000428,MAT-1005,2027-07-01,39,10,1,26000,1014000,Partial,Within Lead Time,Q3 2027
PRJ-000428-SP05,PRJ-000428,MAT-1010,2026-04-01,20,12,9,980,19600,Partial,At Risk,Q2 2026
PRJ-000428-SP06,PRJ-000428,MAT-1002,2026-10-01,65,41,3,420,27300,Partial,Within Lead Time,Q4 2026
PRJ-000429-SP01,PRJ-000429,MAT-1004,2028-07-01,8256,8200,1581,27,222912,Partial,Within Lead Time,Q3 2028
PRJ-000429-SP02,PRJ-000429,MAT-1006,2028-03-01,75,58,6,6200,465000,Partial,Within Lead Time,Q1 2028
PRJ-000430-SP01,PRJ-000430,MAT-1010,2028-03-01,13,8,5,980,12740,Partial,Within Lead Time,Q1 2028
PRJ-000430-SP02,PRJ-000430,MAT-1001,2026-08-01,59,7,3,2100,123900,Partial,At Risk,Q3 2026
PRJ-000430-SP03,PRJ-000430,MAT-1006,2026-08-01,38,19,17,6200,235600,Partial,At Risk,Q3 2026
PRJ-000430-SP04,PRJ-000430,MAT-1001,2028-05-01,51,37,5,2100,107100,Partial,Within Lead Time,Q2 2028
PRJ-000430-SP05,PRJ-000430,MAT-1010,2026-02-01,3,1,0,980,2940,Partial,At Risk,Q1 2026
PRJ-000430-SP06,PRJ-000430,MAT-1005,2027-04-01,66,60,40,26000,1716000,Partial,Within Lead Time,Q2 2027
PRJ-000430-SP07,PRJ-000430,MAT-1007,2028-05-01,36,30,9,14500,522000,Partial,Within Lead Time,Q2 2028
PRJ-000431-SP01,PRJ-000431,MAT-1004,2027-01-01,8143,4031,1946,27,219861,Partial,Within Lead Time,Q1 2027
PRJ-000431-SP02,PRJ-000431,MAT-1003,2027-04-01,7665,1889,1467,12,91980,Partial,Within Lead Time,Q2 2027
PRJ-000431-SP03,PRJ-000431,MAT-1007,2026-12-01,42,21,2,14500,609000,Partial,At Risk,Q4 2026
PRJ-000431-SP04,PRJ-000431,MAT-1006,2028-09-01,32,27,3,6200,198400,Partial,Within Lead Time,Q3 2028
PRJ-000432-SP01,PRJ-000432,MAT-1002,2027-07-01,69,64,59,420,28980,Partial,Within Lead Time,Q3 2027
PRJ-000432-SP02,PRJ-000432,MAT-1012,2026-11-01,66,12,9,68,4488,Partial,Within Lead Time,Q4 2026
PRJ-000432-SP03,PRJ-000432,MAT-1006,2027-06-01,62,47,20,6200,384400,Partial,Within Lead Time,Q2 2027
PRJ-000432-SP04,PRJ-000432,MAT-1005,2028-01-01,13,0,0,26000,338000,Not Reserved,Within Lead Time,Q1 2028
PRJ-000433-SP01,PRJ-000433,MAT-1004,2028-11-01,4080,1001,881,27,110160,Partial,Within Lead Time,Q4 2028
PRJ-000433-SP02,PRJ-000433,MAT-1009,2026-11-01,76,68,36,145,11020,Partial,Within Lead Time,Q4 2026
PRJ-000433-SP03,PRJ-000433,MAT-1011,2026-12-01,27,16,15,130,3510,Partial,Within Lead Time,Q4 2026
PRJ-000433-SP04,PRJ-000433,MAT-1002,2028-12-01,61,37,29,420,25620,Partial,Within Lead Time,Q4 2028
PRJ-000433-SP05,PRJ-000433,MAT-1008,2027-09-01,39,0,0,19000,741000,Not Reserved,Within Lead Time,Q3 2027
PRJ-000433-SP06,PRJ-000433,MAT-1003,2027-08-01,5369,2772,988,12,64428,Partial,Within Lead Time,Q3 2027
PRJ-000434-SP01,PRJ-000434,MAT-1004,2026-05-01,6534,3998,3952,27,176418,Partial,At Risk,Q2 2026
PRJ-000434-SP02,PRJ-000434,MAT-1012,2027-10-01,72,64,21,68,4896,Partial,Within Lead Time,Q4 2027
PRJ-000434-SP03,PRJ-000434,MAT-1007,2027-11-01,77,53,34,14500,1116500,Partial,Within Lead Time,Q4 2027
PRJ-000434-SP04,PRJ-000434,MAT-1012,2027-01-01,24,4,1,68,1632,Partial,Within Lead Time,Q1 2027
PRJ-000434-SP05,PRJ-000434,MAT-1003,2026-07-01,3162,1148,159,12,37944,Partial,At Risk,Q3 2026
PRJ-000434-SP06,PRJ-000434,MAT-1010,2026-08-01,77,20,0,980,75460,Partial,At Risk,Q3 2026
PRJ-000434-SP07,PRJ-000434,MAT-1009,2026-02-01,75,8,5,145,10875,Partial,At Risk,Q1 2026
PRJ-000434-SP08,PRJ-000434,MAT-1003,2026-08-01,9189,2183,427,12,110268,Partial,At Risk,Q3 2026
PRJ-000435-SP01,PRJ-000435,MAT-1010,2026-06-01,80,49,23,980,78400,Partial,At Risk,Q2 2026
PRJ-000435-SP02,PRJ-000435,MAT-1006,2028-01-01,9,5,4,6200,55800,Partial,Within Lead Time,Q1 2028
PRJ-000435-SP03,PRJ-000435,MAT-1008,2027-11-01,7,2,0,19000,133000,Partial,Within Lead Time,Q4 2027
PRJ-000435-SP04,PRJ-000435,MAT-1002,2027-06-01,62,61,3,420,26040,Partial,Within Lead Time,Q2 2027
PRJ-000435-SP05,PRJ-000435,MAT-1012,2026-06-01,36,22,13,68,2448,Partial,At Risk,Q2 2026
PRJ-000436-SP01,PRJ-000436,MAT-1004,2026-12-01,3477,510,266,27,93879,Partial,Within Lead Time,Q4 2026
PRJ-000436-SP02,PRJ-000436,MAT-1002,2027-09-01,11,4,0,420,4620,Partial,Within Lead Time,Q3 2027
PRJ-000436-SP03,PRJ-000436,MAT-1009,2028-07-01,45,2,1,145,6525,Partial,Within Lead Time,Q3 2028
PRJ-000436-SP04,PRJ-000436,MAT-1002,2027-09-01,12,11,1,420,5040,Partial,Within Lead Time,Q3 2027
PRJ-000436-SP05,PRJ-000436,MAT-1011,2026-10-01,3,3,1,130,390,Partial,Within Lead Time,Q4 2026
PRJ-000436-SP06,PRJ-000436,MAT-1009,2027-12-01,25,20,4,145,3625,Partial,Within Lead Time,Q4 2027
PRJ-000436-SP07,PRJ-000436,MAT-1004,2027-03-01,5844,616,8,27,157788,Partial,Within Lead Time,Q1 2027
PRJ-000437-SP01,PRJ-000437,MAT-1006,2026-04-01,13,5,4,6200,80600,Partial,At Risk,Q2 2026
PRJ-000437-SP02,PRJ-000437,MAT-1008,2026-03-01,2,0,0,19000,38000,Not Reserved,At Risk,Q1 2026
PRJ-000437-SP03,PRJ-000437,MAT-1006,2026-04-01,19,14,2,6200,117800,Partial,At Risk,Q2 2026
PRJ-000437-SP04,PRJ-000437,MAT-1006,2028-06-01,36,3,0,6200,223200,Partial,Within Lead Time,Q2 2028
PRJ-000438-SP01,PRJ-000438,MAT-1009,2027-02-01,11,5,0,145,1595,Partial,Within Lead Time,Q1 2027
PRJ-000438-SP02,PRJ-000438,MAT-1001,2026-07-01,6,6,1,2100,12600,Partial,At Risk,Q3 2026
PRJ-000439-SP01,PRJ-000439,MAT-1008,2026-12-01,47,8,6,19000,893000,Partial,At Risk,Q4 2026
PRJ-000439-SP02,PRJ-000439,MAT-1001,2026-11-01,80,53,34,2100,168000,Partial,Within Lead Time,Q4 2026
PRJ-000439-SP03,PRJ-000439,MAT-1008,2027-09-01,54,20,2,19000,1026000,Partial,Within Lead Time,Q3 2027
PRJ-000439-SP04,PRJ-000439,MAT-1007,2027-10-01,49,33,10,14500,710500,Partial,Within Lead Time,Q4 2027
PRJ-000439-SP05,PRJ-000439,MAT-1009,2026-06-01,15,15,5,145,2175,Partial,At Risk,Q2 2026
PRJ-000439-SP06,PRJ-000439,MAT-1001,2026-05-01,14,12,10,2100,29400,Partial,At Risk,Q2 2026
PRJ-000439-SP07,PRJ-000439,MAT-1003,2028-08-01,8114,6384,4804,12,97368,Partial,Within Lead Time,Q3 2028
PRJ-000440-SP01,PRJ-000440,MAT-1001,2027-03-01,15,1,0,2100,31500,Partial,Within Lead Time,Q1 2027
PRJ-000440-SP02,PRJ-000440,MAT-1009,2027-10-01,34,20,10,145,4930,Partial,Within Lead Time,Q4 2027
PRJ-000440-SP03,PRJ-000440,MAT-1004,2028-12-01,5810,951,688,27,156870,Partial,Within Lead Time,Q4 2028
PRJ-000440-SP04,PRJ-000440,MAT-1008,2027-01-01,37,2,1,19000,703000,Partial,At Risk,Q1 2027
PRJ-000440-SP05,PRJ-000440,MAT-1012,2027-12-01,58,45,21,68,3944,Partial,Within Lead Time,Q4 2027
PRJ-000440-SP06,PRJ-000440,MAT-1011,2026-09-01,17,4,3,130,2210,Partial,At Risk,Q3 2026
PRJ-000440-SP07,PRJ-000440,MAT-1006,2027-02-01,38,33,30,6200,235600,Partial,Within Lead Time,Q1 2027
PRJ-000441-SP01,PRJ-000441,MAT-1011,2026-02-01,18,14,12,130,2340,Partial,At Risk,Q1 2026
PRJ-000441-SP02,PRJ-000441,MAT-1009,2028-11-01,75,16,14,145,10875,Partial,Within Lead Time,Q4 2028
PRJ-000441-SP03,PRJ-000441,MAT-1003,2028-07-01,3123,2231,864,12,37476,Partial,Within Lead Time,Q3 2028
PRJ-000441-SP04,PRJ-000441,MAT-1008,2027-03-01,69,44,14,19000,1311000,Partial,Within Lead Time,Q1 2027
PRJ-000441-SP05,PRJ-000441,MAT-1012,2028-10-01,37,21,9,68,2516,Partial,Within Lead Time,Q4 2028
PRJ-000441-SP06,PRJ-000441,MAT-1001,2027-05-01,51,38,5,2100,107100,Partial,Within Lead Time,Q2 2027
PRJ-000441-SP07,PRJ-000441,MAT-1011,2027-12-01,79,14,8,130,10270,Partial,Within Lead Time,Q4 2027
PRJ-000442-SP01,PRJ-000442,MAT-1002,2028-09-01,25,19,11,420,10500,Partial,Within Lead Time,Q3 2028
PRJ-000442-SP02,PRJ-000442,MAT-1010,2028-06-01,65,20,17,980,63700,Partial,Within Lead Time,Q2 2028
PRJ-000442-SP03,PRJ-000442,MAT-1007,2028-03-01,35,34,8,14500,507500,Partial,Within Lead Time,Q1 2028
PRJ-000442-SP04,PRJ-000442,MAT-1009,2028-06-01,64,29,23,145,9280,Partial,Within Lead Time,Q2 2028
PRJ-000442-SP05,PRJ-000442,MAT-1011,2028-05-01,36,17,1,130,4680,Partial,Within Lead Time,Q2 2028
PRJ-000442-SP06,PRJ-000442,MAT-1011,2028-12-01,42,32,23,130,5460,Partial,Within Lead Time,Q4 2028
PRJ-000442-SP07,PRJ-000442,MAT-1002,2027-08-01,56,50,34,420,23520,Partial,Within Lead Time,Q3 2027
PRJ-000442-SP08,PRJ-000442,MAT-1006,2027-11-01,14,14,4,6200,86800,Partial,Within Lead Time,Q4 2027
PRJ-000443-SP01,PRJ-000443,MAT-1003,2028-02-01,6178,5349,411,12,74136,Partial,Within Lead Time,Q1 2028
PRJ-000443-SP02,PRJ-000443,MAT-1004,2027-12-01,1706,443,100,27,46062,Partial,Within Lead Time,Q4 2027
PRJ-000443-SP03,PRJ-000443,MAT-1006,2027-05-01,37,32,30,6200,229400,Partial,Within Lead Time,Q2 2027
PRJ-000443-SP04,PRJ-000443,MAT-1009,2028-11-01,48,21,17,145,6960,Partial,Within Lead Time,Q4 2028
PRJ-000443-SP05,PRJ-000443,MAT-1009,2027-04-01,51,45,4,145,7395,Partial,Within Lead Time,Q2 2027
PRJ-000444-SP01,PRJ-000444,MAT-1008,2027-12-01,7,7,6,19000,133000,Partial,Within Lead Time,Q4 2027
PRJ-000444-SP02,PRJ-000444,MAT-1005,2026-02-01,37,9,3,26000,962000,Partial,At Risk,Q1 2026
PRJ-000444-SP03,PRJ-000444,MAT-1002,2026-03-01,60,13,7,420,25200,Partial,At Risk,Q1 2026
PRJ-000445-SP01,PRJ-000445,MAT-1002,2029-01-01,28,8,5,420,11760,Partial,Within Lead Time,Q1 2029
PRJ-000445-SP02,PRJ-000445,MAT-1003,2028-01-01,2683,214,200,12,32196,Partial,Within Lead Time,Q1 2028
PRJ-000445-SP03,PRJ-000445,MAT-1001,2028-03-01,68,65,19,2100,142800,Partial,Within Lead Time,Q1 2028
PRJ-000445-SP04,PRJ-000445,MAT-1003,2026-02-01,2823,1792,236,12,33876,Partial,At Risk,Q1 2026
PRJ-000445-SP05,PRJ-000445,MAT-1005,2028-03-01,73,65,53,26000,1898000,Partial,Within Lead Time,Q1 2028
PRJ-000445-SP06,PRJ-000445,MAT-1005,2028-11-01,34,1,1,26000,884000,Partial,Within Lead Time,Q4 2028
PRJ-000446-SP01,PRJ-000446,MAT-1008,2028-11-01,56,21,1,19000,1064000,Partial,Within Lead Time,Q4 2028
PRJ-000446-SP02,PRJ-000446,MAT-1005,2028-01-01,60,56,46,26000,1560000,Partial,Within Lead Time,Q1 2028
PRJ-000446-SP03,PRJ-000446,MAT-1007,2026-09-01,36,34,15,14500,522000,Partial,At Risk,Q3 2026
PRJ-000446-SP04,PRJ-000446,MAT-1003,2027-09-01,1177,126,48,12,14124,Partial,Within Lead Time,Q3 2027
PRJ-000446-SP05,PRJ-000446,MAT-1003,2026-02-01,8200,3297,3054,12,98400,Partial,At Risk,Q1 2026
PRJ-000446-SP06,PRJ-000446,MAT-1003,2028-02-01,7130,1067,104,12,85560,Partial,Within Lead Time,Q1 2028
PRJ-000447-SP01,PRJ-000447,MAT-1007,2027-08-01,2,2,2,14500,29000,Fulfilled,Within Lead Time,Q3 2027
PRJ-000447-SP02,PRJ-000447,MAT-1012,2026-12-01,32,18,0,68,2176,Partial,Within Lead Time,Q4 2026
PRJ-000447-SP03,PRJ-000447,MAT-1012,2027-02-01,26,22,0,68,1768,Partial,Within Lead Time,Q1 2027
PRJ-000447-SP04,PRJ-000447,MAT-1001,2027-05-01,57,29,25,2100,119700,Partial,Within Lead Time,Q2 2027
PRJ-000448-SP01,PRJ-000448,MAT-1008,2028-01-01,60,21,10,19000,1140000,Partial,Within Lead Time,Q1 2028
PRJ-000448-SP02,PRJ-000448,MAT-1002,2027-12-01,11,1,1,420,4620,Partial,Within Lead Time,Q4 2027
PRJ-000448-SP03,PRJ-000448,MAT-1005,2027-08-01,44,24,18,26000,1144000,Partial,Within Lead Time,Q3 2027
PRJ-000448-SP04,PRJ-000448,MAT-1010,2028-11-01,7,2,1,980,6860,Partial,Within Lead Time,Q4 2028
PRJ-000448-SP05,PRJ-000448,MAT-1011,2028-05-01,42,8,1,130,5460,Partial,Within Lead Time,Q2 2028
PRJ-000448-SP06,PRJ-000448,MAT-1008,2026-02-01,69,46,6,19000,1311000,Partial,At Risk,Q1 2026
PRJ-000449-SP01,PRJ-000449,MAT-1006,2028-01-01,22,13,5,6200,136400,Partial,Within Lead Time,Q1 2028
PRJ-000449-SP02,PRJ-000449,MAT-1002,2028-09-01,20,19,14,420,8400,Partial,Within Lead Time,Q3 2028
PRJ-000449-SP03,PRJ-000449,MAT-1011,2027-11-01,76,3,1,130,9880,Partial,Within Lead Time,Q4 2027
PRJ-000450-SP01,PRJ-000450,MAT-1007,2028-02-01,4,2,1,14500,58000,Partial,Within Lead Time,Q1 2028
PRJ-000450-SP02,PRJ-000450,MAT-1006,2026-06-01,77,36,19,6200,477400,Partial,At Risk,Q2 2026
PRJ-000450-SP03,PRJ-000450,MAT-1011,2026-04-01,34,10,7,130,4420,Partial,At Risk,Q2 2026
PRJ-000450-SP04,PRJ-000450,MAT-1007,2028-11-01,25,19,11,14500,362500,Partial,Within Lead Time,Q4 2028
PRJ-000450-SP05,PRJ-000450,MAT-1011,2026-10-01,72,53,5,130,9360,Partial,Within Lead Time,Q4 2026
PRJ-000450-SP06,PRJ-000450,MAT-1005,2026-01-01,76,0,0,26000,1976000,Not Reserved,At Risk,Q1 2026
PRJ-000451-SP01,PRJ-000451,MAT-1008,2026-11-01,16,8,2,19000,304000,Partial,At Risk,Q4 2026
PRJ-000451-SP02,PRJ-000451,MAT-1009,2028-07-01,65,43,27,145,9425,Partial,Within Lead Time,Q3 2028
PRJ-000451-SP03,PRJ-000451,MAT-1009,2029-01-01,38,12,5,145,5510,Partial,Within Lead Time,Q1 2029
PRJ-000451-SP04,PRJ-000451,MAT-1010,2026-04-01,40,1,0,980,39200,Partial,At Risk,Q2 2026
PRJ-000451-SP05,PRJ-000451,MAT-1008,2027-02-01,40,26,7,19000,760000,Partial,Within Lead Time,Q1 2027
PRJ-000451-SP06,PRJ-000451,MAT-1001,2029-01-01,55,50,18,2100,115500,Partial,Within Lead Time,Q1 2029
